,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
785,HD 32963 b,124.0,0.7 Jupiters,7.6,2015,Gas Giant,2015,0.7 Jupiters,1.25 x Jupiter,3.41 AU,HATS-72,Transit,89.56,0.411,22h36m06.3190s,-16d59m59.7882s,4656.1,0.73,0.72
786,HD 330075 b,148.0,0.48 Jupiters,9.334,2004,Gas Giant,2004,0.48 Jupiters,1.27 x Jupiter,0.04 AU,,,,,,,,,
787,HD 33142 b,397.0,1.385 Jupiters,7.96,2011,Gas Giant,2011,1.385 Jupiters,1.21 x Jupiter,1.07 AU,HATS-8,Transit,87.8,0.259,19h39m46.02s,-25d44m53.9s,5679.0,1.06,1.09
788,HD 33142 c,397.0,5.97 Jupiters,7.96,2018,Gas Giant,2018,5.97 Jupiters,1.14 x Jupiter,Unknown,,,,,,,,,
789,HD 332231 b,264.0,0.244 Jupiters,8.56,2020,Gas Giant,2020,0.244 Jupiters,0.867 x Jupiter,0.1436 AU,HATS-9,Transit,,,19h23m14.42s,-20d09m58.7s,5599.0,1.1,1.56
790,HD 33283 b,294.0,0.329 Jupiters,8.05,2006,Gas Giant,2006,0.329 Jupiters,1.12 x Jupiter,0.1508 AU,,,,,,,,,
791,HD 33564 b,68.0,9.1 Jupiters,5.08,2005,Gas Giant,2005,9.1 Jupiters,1.12 x Jupiter,1.1 AU,HD 100546,Imaging,,,11h33m25.44s,-70d11m41.2s,10500.0,2.4,
792,HD 33844 b,346.0,2.01 Jupiters,7.286,2015,Gas Giant,2015,2.01 Jupiters,1.19 x Jupiter,1.6 AU,,,,,,,,,
793,HD 33844 c,346.0,1.75 Jupiters,7.286,2015,Gas Giant,2015,1.75 Jupiters,1.2 x Jupiter,2.24 AU,HD 100655,Radial Velocity,,,11h35m03.75s,+20d26m29.6s,4891.0,2.28,10.06
794,HD 34445 b,151.0,0.82 Jupiters,7.328,2009,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.07 AU,,,,,,,,,
795,HD 34445 c,151.0,0.168 Jupiters,7.328,2017,Gas Giant,2017,0.168 Jupiters,0.752 x Jupiter,0.7181 AU,HD 100777,Radial Velocity,,,11h35m51.52s,-04d45m20.5s,5533.0,0.83,1.04
796,HD 34445 d,151.0,30.7 Earths,7.328,2017,Neptune-like,2017,30.7 Earths,0.542 x Jupiter,0.4817 AU,,,,,,,,,
797,HD 34445 e,151.0,16.8 Earths,7.328,2017,Neptune-like,2017,16.8 Earths,0.38 x Jupiter,0.2687 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
798,HD 34445 f,151.0,37.9 Earths,7.328,2017,Neptune-like,2017,37.9 Earths,0.613 x Jupiter,1.543 AU,,,,,,,,,
799,HD 34445 g,151.0,0.38 Jupiters,7.328,2017,Gas Giant,2017,0.38 Jupiters,1.21 x Jupiter,6.36 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
800,HD 35759 b,236.0,3.76 Jupiters,7.74,2016,Gas Giant,2016,3.76 Jupiters,1.16 x Jupiter,0.389 AU,,,,,,,,,
801,HD 3651 b,36.0,0.228 Jupiters,5.86,2003,Gas Giant,2003,0.228 Jupiters,0.899 x Jupiter,0.295 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
802,HD 37124 b,103.0,0.675 Jupiters,7.7,2002,Gas Giant,2002,0.675 Jupiters,1.25 x Jupiter,0.53364 AU,,,,,,,,,
803,HD 37124 c,103.0,0.652 Jupiters,7.7,2002,Gas Giant,2002,0.652 Jupiters,1.25 x Jupiter,1.71 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
804,HD 37124 d,103.0,0.696 Jupiters,7.7,2005,Gas Giant,2005,0.696 Jupiters,1.25 x Jupiter,2.807 AU,,,,,,,,,
805,HD 37605 b,153.0,2.69 Jupiters,8.67,2004,Gas Giant,2004,2.69 Jupiters,1.18 x Jupiter,0.277 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
806,HD 37605 c,153.0,3.19 Jupiters,8.67,2012,Gas Giant,2012,3.19 Jupiters,1.17 x Jupiter,3.74 AU,,,,,,,,,
807,HD 38283 b,124.0,0.4 Jupiters,6.696,2010,Gas Giant,2010,0.4 Jupiters,1.25 x Jupiter,1.02 AU,HD 10180,Radial Velocity,,,01h37m53.58s,-60d30m41.5s,5911.0,1.06,1.11
808,HD 38529 b,138.0,0.797 Jupiters,5.95,2000,Gas Giant,2000,0.797 Jupiters,1.24 x Jupiter,0.1294 AU,,,,,,,,,
809,HD 38529 c,138.0,12.99 Jupiters,5.95,2000,Gas Giant,2000,12.99 Jupiters,1.1 x Jupiter,3.64 AU,HD 101930,Radial Velocity,,,11h43m30.11s,-58d00m24.8s,5108.0,0.57,0.86
810,HD 38801 b,299.0,9.698 Jupiters,8.224,2009,Gas Giant,2009,9.698 Jupiters,1.11 x Jupiter,1.623 AU,,,,,,,,,
811,HD 39091 b,60.0,12.9 Jupiters,5.67,2001,Gas Giant,2001,12.9 Jupiters,1.1 x Jupiter,3.1 AU,HD 102117,Radial Velocity,,,11h44m50.46s,-58d42m13.4s,5655.0,1.06,1.23
812,HD 39855 b,76.0,8.5 Earths,7.47,2019,Neptune-like,2019,8.5 Earths,0.254 x Jupiter,0.041 AU,,,,,,,,,
813,HD 40307 b,42.0,4 Earths,7.17,2009,Super Earth,2009,4 Earths,1.83 x Earth,0.0468 AU,HD 102195,Radial Velocity,,,11h45m42.29s,+02d49m17.3s,5301.0,0.76,0.82
814,HD 40307 c,42.0,6.6 Earths,7.17,2009,Neptune-like,2009,6.6 Earths,0.219 x Jupiter,0.0799 AU,,,,,,,,,
815,HD 40307 d,42.0,9.5 Earths,7.17,2009,Neptune-like,2009,9.5 Earths,0.272 x Jupiter,0.1321 AU,HD 102272,Radial Velocity,,,11h46m23.54s,+14d07m26.4s,4790.0,1.45,10.3
816,HD 40307 f,42.0,5.2 Earths,7.17,2013,Neptune-like,2013,5.2 Earths,2.13 x Earth,0.247 AU,,,,,,,,,
817,HD 40307 g,42.0,7.1 Earths,7.17,2013,Neptune-like,2013,7.1 Earths,0.229 x Jupiter,0.6 AU,HD 102329,Radial Velocity,,,11h46m46.64s,+03d28m27.5s,4745.0,3.21,9.82
818,HD 40956 b,382.0,2.7 Jupiters,6.423,2017,Gas Giant,2017,2.7 Jupiters,1.18 x Jupiter,1.4 AU,,,,,,,,,
819,HD 40979 b,111.0,4.67 Jupiters,6.735,2002,Gas Giant,2002,4.67 Jupiters,1.15 x Jupiter,0.85 AU,HD 102329,Radial Velocity,,,11h46m46.64s,+03d28m27.5s,4745.0,3.21,9.82
820,HD 41004 A b,140.0,2.54 Jupiters,8.65,2004,Gas Giant,2004,2.54 Jupiters,1.18 x Jupiter,Unknown,,,,,,,,,
821,HD 41004 B b,140.0,18.37 Jupiters,,2003,Gas Giant,2003,18.37 Jupiters,1.08 x Jupiter,Unknown,HD 102365,Radial Velocity,,,11h46m31.07s,-40d30m01.3s,5630.0,0.85,
822,HD 4113 b,137.0,1.56 Jupiters,7.881,2007,Gas Giant,2007,1.56 Jupiters,1.21 x Jupiter,1.28 AU,,,,,,,,,
823,HD 42012 b,120.0,1.6 Jupiters,8.44,2017,Gas Giant,2017,1.6 Jupiters,1.21 x Jupiter,1.67 AU,HD 102843,Radial Velocity,,,11h50m20.93s,-01d15m08.8s,5436.0,0.95,
824,HD 4203 b,266.0,2.23 Jupiters,8.687,2001,Gas Giant,2001,2.23 Jupiters,1.19 x Jupiter,1.17 AU,,,,,,,,,
825,HD 4203 c,266.0,2.17 Jupiters,8.687,2014,Gas Giant,2014,2.17 Jupiters,1.19 x Jupiter,6.95 AU,HD 102956,Radial Velocity,,,11h51m22.51s,+57d38m26.6s,4985.0,1.66,4.55
826,HD 4208 b,112.0,0.81 Jupiters,7.795,2001,Gas Giant,2001,0.81 Jupiters,1.24 x Jupiter,1.662 AU,,,,,,,,,
827,HD 42618 b,79.0,14.4 Earths,6.839,2016,Neptune-like,2016,14.4 Earths,0.347 x Jupiter,0.554 AU,HD 103197,Radial Velocity,,,11h52m52.98s,-50d17m34.2s,5250.0,0.8,0.88
828,HD 4308 b,72.0,15.8915 Earths,6.56,2005,Neptune-like,2005,15.8915 Earths,0.368 x Jupiter,0.12 AU,,,,,,,,,
829,HD 4313 b,446.0,1.927 Jupiters,7.83,2009,Gas Giant,2009,1.927 Jupiters,1.2 x Jupiter,1.157 AU,HD 103720,Radial Velocity,,,11h56m41.18s,-02d46m44.2s,5017.0,0.79,0.73
830,HD 43197 b,184.0,0.6 Jupiters,8.98,2010,Gas Giant,2010,0.6 Jupiters,1.26 x Jupiter,0.92 AU,,,,,,,,,
831,HD 43691 b,280.0,2.55 Jupiters,8.03,2007,Gas Giant,2007,2.55 Jupiters,1.18 x Jupiter,0.238 AU,HD 103774,Radial Velocity,,,11h56m55.59s,-12d06m28.5s,6489.0,1.33,
832,HD 44219 b,164.0,0.58 Jupiters,7.69,2010,Gas Giant,2010,0.58 Jupiters,1.26 x Jupiter,1.19 AU,,,,,,,,,
833,HD 45184 b,71.0,12.19 Earths,6.37,2019,Neptune-like,2019,12.19 Earths,0.314 x Jupiter,0.0644 AU,HD 103949,Radial Velocity,,,11h58m11.70s,-23d55m26.0s,4792.0,0.77,
834,HD 45184 c,71.0,8.81 Earths,6.37,2019,Neptune-like,2019,8.81 Earths,0.26 x Jupiter,0.11 AU,,,,,,,,,
835,HD 45350 b,153.0,1.79 Jupiters,7.885,2004,Gas Giant,2004,1.79 Jupiters,1.2 x Jupiter,1.92 AU,HD 104067,Radial Velocity,,,11h59m10.01s,-20d21m13.6s,4937.0,0.62,0.74
836,HD 45364 b,112.0,0.1872 Jupiters,8.062,2008,Gas Giant,2008,0.1872 Jupiters,0.8 x Jupiter,0.6813 AU,,,,,,,,,
837,HD 45364 c,112.0,0.6579 Jupiters,8.062,2008,Gas Giant,2008,0.6579 Jupiters,1.25 x Jupiter,0.8972 AU,HD 10442,Radial Velocity,,,01h41m53.15s,+02d42m15.8s,4912.0,1.01,1.97
838,HD 45652 b,114.0,0.433 Jupiters,8.1,2008,Gas Giant,2008,0.433 Jupiters,1.28 x Jupiter,0.237 AU,,,,,,,,,
839,HD 46375 b,96.0,0.226 Jupiters,7.912,2000,Gas Giant,2000,0.226 Jupiters,0.894 x Jupiter,0.0398 AU,HD 104985,Radial Velocity,,,12h05m15.12s,+76d54m20.6s,4877.0,2.3,11.0
840,HD 47186 b,122.0,22.2481 Earths,7.626,2008,Neptune-like,2008,22.2481 Earths,0.448 x Jupiter,0.05 AU,,,,,,,,,
841,HD 47186 c,122.0,0.35061 Jupiters,7.626,2008,Gas Giant,2008,0.35061 Jupiters,1.16 x Jupiter,2.395 AU,HD 106252,Radial Velocity,,,12h13m29.51s,+10d02m29.9s,5874.0,1.01,1.1
842,HD 4732 b,179.0,2.37 Jupiters,5.89,2012,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,1.19 AU,,,,,,,,,
843,HD 4732 c,179.0,2.37 Jupiters,5.89,2012,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,4.6 AU,HD 106270,Radial Velocity,,,12h13m37.28s,-09d30m48.2s,5509.0,1.39,2.66
844,HD 47366 b,276.0,2.3 Jupiters,6.11,2016,Gas Giant,2016,2.3 Jupiters,1.19 x Jupiter,1.28 AU,,,,,,,,,
845,HD 47366 c,276.0,1.88 Jupiters,6.11,2016,Gas Giant,2016,1.88 Jupiters,1.2 x Jupiter,1.97 AU,HD 106315,Transit,87.54,4.7,12h13m53.39s,-00d23m36.5s,6327.0,1.09,1.3
846,HD 47536 b,401.0,7.32 Jupiters,5.25,2002,Gas Giant,2002,7.32 Jupiters,1.13 x Jupiter,1.93 AU,,,,,,,,,
847,HD 48265 b,296.0,1.525 Jupiters,8.051,2008,Gas Giant,2008,1.525 Jupiters,1.21 x Jupiter,1.814 AU,HD 106315,Transit,88.61,1.01,12h13m53.39s,-00d23m36.5s,6327.0,1.09,1.3
848,HD 4917 b,670.0,1.615 Jupiters,8.03,2018,Gas Giant,2018,1.615 Jupiters,1.21 x Jupiter,1.167 AU,,,,,,,,,
849,HD 49674 b,141.0,31.783 Earths,8.1,2002,Neptune-like,2002,31.783 Earths,0.553 x Jupiter,0.06 AU,HD 10647,Radial Velocity,,,01h42m29.32s,-53d44m27.0s,6218.0,1.11,1.1
850,HD 50499 b,151.0,1.636 Jupiters,7.207,2005,Gas Giant,2005,1.636 Jupiters,1.2 x Jupiter,3.833 AU,,,,,,,,,
851,HD 50499 c,151.0,2.93 Jupiters,7.207,2019,Gas Giant,2019,2.93 Jupiters,1.17 x Jupiter,9.02 AU,HD 106515 A,Radial Velocity,,,12h15m06.57s,-07d15m26.4s,5362.0,0.97,1.62
852,HD 50554 b,102.0,4.954 Jupiters,6.84,2002,Gas Giant,2002,4.954 Jupiters,1.15 x Jupiter,2.353 AU,,,,,,,,,
853,HD 51608 b,114.0,12.77 Earths,8.17,2019,Neptune-like,2019,12.77 Earths,0.323 x Jupiter,0.1059 AU,HD 106906,Imaging,,,12h17m53.19s,-55d58m31.9s,6516.0,1.5,
854,HD 51608 c,114.0,14.31 Earths,8.17,2019,Neptune-like,2019,14.31 Earths,0.346 x Jupiter,0.3809 AU,,,,,,,,,
855,HD 52265 b,98.0,1.21 Jupiters,6.3,2000,Gas Giant,2000,1.21 Jupiters,1.22 x Jupiter,0.52 AU,HD 10697,Radial Velocity,,,01h44m55.82s,+20d04m59.3s,5600.0,1.13,1.79
856,HD 5319 b,397.0,1.556 Jupiters,8.05,2007,Gas Giant,2007,1.556 Jupiters,1.21 x Jupiter,1.57 AU,,,,,,,,,
857,HD 5319 c,397.0,1.053 Jupiters,8.05,2014,Gas Giant,2014,1.053 Jupiters,1.23 x Jupiter,1.93 AU,HD 107148,Radial Velocity,,,12h19m13.49s,-03d19m11.2s,5797.0,1.12,
858,HD 55696 b,255.0,3.87 Jupiters,7.95,2018,Gas Giant,2018,3.87 Jupiters,1.16 x Jupiter,3.18 AU,,,,,,,,,
859,HD 5583 b,721.0,5.78 Jupiters,7.6,2016,Gas Giant,2016,5.78 Jupiters,1.14 x Jupiter,0.53 AU,HD 108147,Radial Velocity,,,12h25m46.27s,-64d01m19.5s,6265.0,1.27,
860,HD 5608 b,190.0,1.681 Jupiters,5.99,2012,Gas Giant,2012,1.681 Jupiters,1.2 x Jupiter,1.911 AU,,,,,,,,,
861,HD 564 b,175.0,0.33 Jupiters,8.29,2014,Gas Giant,2014,0.33 Jupiters,1.12 x Jupiter,1.2 AU,HD 108341,Radial Velocity,,,12h27m31.39s,-71d25m22.7s,5122.0,0.84,0.79
862,HD 5891 b,932.0,7.63 Jupiters,8.25,2011,Gas Giant,2011,7.63 Jupiters,1.13 x Jupiter,0.64 AU,,,,,,,,,
863,HD 59686 A b,316.0,6.92 Jupiters,5.442,2016,Gas Giant,2016,6.92 Jupiters,1.13 x Jupiter,1.086 AU,HD 108863,Radial Velocity,,,12h30m19.91s,+21d56m53.7s,4878.0,1.59,5.74
864,HD 60532 b,85.0,1.06 Jupiters,4.44,2008,Gas Giant,2008,1.06 Jupiters,1.23 x Jupiter,0.77 AU,,,,,,,,,
865,HD 60532 c,85.0,2.51 Jupiters,4.44,2008,Gas Giant,2008,2.51 Jupiters,1.18 x Jupiter,1.6 AU,HD 108874,Radial Velocity,,,12h30m26.88s,+22d52m47.4s,5600.0,1.1,1.05
866,HD 62509 b,34.0,2.3 Jupiters,1.14,2006,Gas Giant,2006,2.3 Jupiters,1.19 x Jupiter,1.64 AU,,,,,,,,,
867,HD 63433 b,73.0,5.27 Earths,6.9,2020,Neptune-like,2020,5.27 Earths,2.15 x Earth,0.0719 AU,HD 108874,Radial Velocity,,,12h30m26.88s,+22d52m47.4s,5600.0,1.1,1.05
868,HD 63433 c,73.0,7.61 Earths,6.9,2020,Neptune-like,2020,7.61 Earths,0.238 x Jupiter,0.1458 AU,,,,,,,,,
869,HD 63454 b,123.0,0.25 Jupiters,9.37,2005,Gas Giant,2005,0.25 Jupiters,1.098 x Jupiter,0.04 AU,HD 109246,Radial Velocity,,,12h32m07.19s,+74d29m22.4s,5844.0,1.2,1.07
870,HD 63765 b,106.0,0.53 Jupiters,8.1,2009,Gas Giant,2009,0.53 Jupiters,1.27 x Jupiter,0.94 AU,,,,,,,,,
871,HD 64114 b,103.0,17.8 Earths,7.718,2019,Neptune-like,2019,17.8 Earths,0.393 x Jupiter,0.246 AU,HD 109271,Radial Velocity,,,12h33m35.56s,-11d37m18.7s,5783.0,1.05,
872,HD 6434 b,138.0,0.49 Jupiters,7.71,2003,Gas Giant,2003,0.49 Jupiters,1.27 x Jupiter,0.14 AU,,,,,,,,,
873,HD 65216 b,115.0,1.295 Jupiters,7.964,2003,Gas Giant,2003,1.295 Jupiters,1.22 x Jupiter,1.301 AU,HD 109271,Radial Velocity,,,12h33m35.56s,-11d37m18.7s,5783.0,1.05,
874,HD 65216 c,115.0,2.03 Jupiters,7.964,2013,Gas Giant,2013,2.03 Jupiters,1.19 x Jupiter,5.75 AU,,,,,,,,,
875,HD 66141 b,222.0,6 Jupiters,4.38,2012,Gas Giant,2012,6 Jupiters,1.14 x Jupiter,1.2 AU,HD 109749,Radial Velocity,,,12h37m16.38s,-40d48m43.6s,5824.0,1.13,1.22
876,HD 66428 b,174.0,3.204 Jupiters,8.246,2005,Gas Giant,2005,3.204 Jupiters,1.17 x Jupiter,3.467 AU,,,,,,,,,
877,HD 67087 b,250.0,3.06 Jupiters,8.05,2015,Gas Giant,2015,3.06 Jupiters,1.17 x Jupiter,1.08 AU,HD 110014,Radial Velocity,,,12h39m14.77s,-07d59m44.0s,4445.0,2.17,20.9
878,HD 67087 c,250.0,4.85 Jupiters,8.05,2015,Gas Giant,2015,4.85 Jupiters,1.15 x Jupiter,3.86 AU,,,,,,,,,
879,HD 6718 b,168.0,1.68 Jupiters,8.45,2009,Gas Giant,2009,1.68 Jupiters,1.2 x Jupiter,3.55 AU,HD 111232,Radial Velocity,,,12h48m51.75s,-68d25m30.5s,5512.0,0.84,0.9
880,HD 68402 b,256.0,3.07 Jupiters,9.11,2016,Gas Giant,2016,3.07 Jupiters,1.17 x Jupiter,2.18 AU,,,,,,,,,
881,HD 68988 b,199.0,1.97 Jupiters,8.2,2001,Gas Giant,2001,1.97 Jupiters,1.2 x Jupiter,0.07 AU,HD 111591,Radial Velocity,,,12h50m17.30s,+22d51m48.3s,4884.0,1.94,8.03
882,HD 69830 b,41.0,10.2 Earths,6.0,2006,Neptune-like,2006,10.2 Earths,0.283 x Jupiter,0.0785 AU,,,,,,,,,
883,HD 69830 c,41.0,11.8 Earths,6.0,2006,Neptune-like,2006,11.8 Earths,0.309 x Jupiter,0.186 AU,HD 111998,Radial Velocity,,,12h53m11.16s,-03d33m11.2s,6557.0,1.18,1.45
884,HD 69830 d,41.0,18.1 Earths,6.0,2006,Neptune-like,2006,18.1 Earths,0.397 x Jupiter,0.63 AU,,,,,,,,,
885,HD 70573 b,149.0,6.1 Jupiters,11.424,2007,Gas Giant,2007,6.1 Jupiters,1.14 x Jupiter,1.76 AU,HD 113337,Radial Velocity,,,13h01m46.93s,+63d36m36.8s,6576.6,1.4,1.5
886,HD 70642 b,96.0,1.993 Jupiters,7.169,2003,Gas Giant,2003,1.993 Jupiters,1.19 x Jupiter,3.318 AU,,,,,,,,,
887,HD 7199 b,118.0,0.27 Jupiters,8.027,2011,Gas Giant,2011,0.27 Jupiters,0.993 x Jupiter,1.36 AU,HD 113538,Radial Velocity,,,13h04m57.48s,-52d26m34.5s,4462.0,0.58,0.53
888,HD 72490 b,414.0,1.768 Jupiters,7.82,2018,Gas Giant,2018,1.768 Jupiters,1.2 x Jupiter,1.88 AU,,,,,,,,,
889,HD 72659 b,170.0,3.85 Jupiters,7.46,2002,Gas Giant,2002,3.85 Jupiters,1.16 x Jupiter,4.75 AU,HD 113538,Radial Velocity,,,13h04m57.48s,-52d26m34.5s,4462.0,0.58,0.53
890,HD 72892 b,228.0,5.45 Jupiters,8.83,2016,Gas Giant,2016,5.45 Jupiters,1.14 x Jupiter,0.228 AU,,,,,,,,,
891,HD 73267 b,179.0,3.097 Jupiters,8.889,2008,Gas Giant,2008,3.097 Jupiters,1.17 x Jupiter,2.187 AU,HD 113996,Radial Velocity,,,13h07m10.73s,+27d37m29.1s,4181.0,1.49,25.11
892,HD 73526 b,318.0,3.08 Jupiters,8.971,2002,Gas Giant,2002,3.08 Jupiters,1.17 x Jupiter,0.65 AU,,,,,,,,,
893,HD 73526 c,318.0,2.25 Jupiters,8.971,2005,Gas Giant,2005,2.25 Jupiters,1.19 x Jupiter,1.03 AU,HD 114386,Radial Velocity,,,13h10m39.82s,-35d03m17.2s,4836.0,0.6,0.76
894,HD 73534 b,272.0,1.112 Jupiters,8.23,2008,Gas Giant,2008,1.112 Jupiters,1.23 x Jupiter,2.99 AU,,,,,,,,,
895,HD 74156 b,211.0,1.8 Jupiters,7.614,2003,Gas Giant,2003,1.8 Jupiters,1.2 x Jupiter,0.292 AU,HD 114613,Radial Velocity,,,13h12m03.19s,-37d48m10.9s,5641.0,1.27,2.14
896,HD 74156 c,211.0,8.06 Jupiters,7.614,2003,Gas Giant,2003,8.06 Jupiters,1.12 x Jupiter,3.85 AU,,,,,,,,,
897,HD 7449 b,126.0,0.508 Jupiters,7.483,2011,Gas Giant,2011,0.508 Jupiters,1.27 x Jupiter,2.38 AU,HD 114729,Radial Velocity,,,13h12m44.26s,-31d52m24.1s,5844.0,0.94,1.47
898,HD 75289 b,95.0,0.49 Jupiters,6.35,1999,Gas Giant,1999,0.49 Jupiters,1.27 x Jupiter,0.05 AU,,,,,,,,,
899,HD 75784 b,279.0,1 Jupiter,7.84,2014,Gas Giant,2014,1 Jupiter,1.23 x Jupiter,1.032 AU,HD 114762,Radial Velocity,,,13h12m19.74s,+17d31m01.6s,5869.0,0.8,1.2
900,HD 75784 c,279.0,5.64 Jupiters,7.84,2018,Gas Giant,2018,5.64 Jupiters,1.14 x Jupiter,8.4 AU,,,,,,,,,
901,HD 75898 b,255.0,2.71 Jupiters,8.03,2007,Gas Giant,2007,2.71 Jupiters,1.18 x Jupiter,1.191 AU,HD 114783,Radial Velocity,,,13h12m43.78s,-02d15m54.1s,5135.0,0.85,
902,HD 76700 b,199.0,0.21 Jupiters,8.155,2002,Gas Giant,2002,0.21 Jupiters,0.856 x Jupiter,0.05 AU,,,,,,,,,
903,HD 76920 b,603.0,3.93 Jupiters,7.817,2017,Gas Giant,2017,3.93 Jupiters,1.16 x Jupiter,1.149 AU,HD 114783,Radial Velocity,,,13h12m43.78s,-02d15m54.1s,5135.0,0.85,
904,HD 77338 b,150.0,15.9 Earths,8.591,2012,Neptune-like,2012,15.9 Earths,0.368 x Jupiter,0.06 AU,,,,,,,,,
905,HD 7924 b,55.0,6.3566 Earths,7.185,2008,Neptune-like,2008,6.3566 Earths,0.214 x Jupiter,0.06 AU,HD 11506,Radial Velocity,,,01h52m50.53s,-19d30m25.1s,6030.0,1.24,1.34
906,HD 7924 c,55.0,7.86 Earths,7.185,2015,Neptune-like,2015,7.86 Earths,0.243 x Jupiter,0.1134 AU,,,,,,,,,
907,HD 7924 d,55.0,6.44 Earths,7.185,2015,Neptune-like,2015,6.44 Earths,0.216 x Jupiter,0.1551 AU,HD 11506,Radial Velocity,,,01h52m50.53s,-19d30m25.1s,6030.0,1.24,1.34
908,HD 79498 b,160.0,1.34 Jupiters,8.05,2011,Gas Giant,2011,1.34 Jupiters,1.22 x Jupiter,2.98 AU,,,,,,,,,
909,HD 80606 b,217.0,4.38 Jupiters,9.001,2001,Gas Giant,2001,4.38 Jupiters,1.07 x Jupiter,0.4565 AU,HD 116029,Radial Velocity,,,13h20m39.54s,+24d38m55.3s,4819.0,0.83,4.89
910,HD 80653 b,358.0,5.6 Earths,9.452,2020,Super Earth,2020,5.6 Earths,1.613 x Earth,0.0166 AU,,,,,,,,,
911,HD 81040 b,112.0,7.27 Jupiters,7.72,2005,Gas Giant,2005,7.27 Jupiters,1.13 x Jupiter,1.94 AU,HD 116029,Radial Velocity,,,13h20m39.54s,+24d38m55.3s,4819.0,0.83,4.89
912,HD 81688 b,280.0,2.7 Jupiters,5.393,2007,Gas Giant,2007,2.7 Jupiters,1.18 x Jupiter,0.81 AU,,,,,,,,,
913,HD 81817 b,877.0,27.1 Jupiters,4.3,2020,Gas Giant,2020,27.1 Jupiters,1.06 x Jupiter,3.3 AU,HD 117207,Radial Velocity,,,13h29m21.11s,-35d34m15.6s,5732.0,1.05,1.07
914,HD 82886 b,416.0,2.33 Jupiters,7.78,2011,Gas Giant,2011,2.33 Jupiters,1.19 x Jupiter,1.58 AU,,,,,,,,,
915,HD 82943 b,90.0,1.681 Jupiters,6.53,2003,Gas Giant,2003,1.681 Jupiters,1.2 x Jupiter,1.18306 AU,HD 11755,Radial Velocity,,,01h58m50.09s,+73d09m08.6s,4312.0,0.72,20.58
916,HD 82943 c,90.0,1.959 Jupiters,6.53,2003,Gas Giant,2003,1.959 Jupiters,1.2 x Jupiter,0.74345 AU,,,,,,,,,
917,HD 8326 b,100.0,0.20955 Jupiters,8.76,2019,Gas Giant,2019,0.20955 Jupiters,0.855 x Jupiter,0.533 AU,HD 117618,Radial Velocity,,,13h32m25.55s,-47d16m16.9s,5990.0,1.08,
918,HD 83443 b,134.0,0.34 Jupiters,8.222,2002,Gas Giant,2002,0.34 Jupiters,1.14 x Jupiter,0.04 AU,,,,,,,,,
919,HD 8535 b,171.0,0.68 Jupiters,7.7,2010,Gas Giant,2010,0.68 Jupiters,1.25 x Jupiter,2.45 AU,HD 118203,Radial Velocity,,,13h34m02.54s,+53d43m42.7s,5864.0,1.84,2.06
920,HD 85390 b,109.0,31.46517 Earths,8.526,2009,Neptune-like,2009,31.46517 Earths,0.55 x Jupiter,1.373 AU,,,,,,,,,
921,HD 85512 b,37.0,3.1783 Earths,7.67,2011,Super Earth,2011,3.1783 Earths,1.6 x Earth,0.26 AU,HD 11964,Radial Velocity,,,01h57m09.61s,-10d14m32.7s,5349.0,1.12,
922,HD 8574 b,146.0,2.03 Jupiters,7.112,2002,Gas Giant,2002,2.03 Jupiters,1.19 x Jupiter,0.76 AU,,,,,,,,,
923,HD 86081 b,340.0,1.48 Jupiters,8.73,2006,Gas Giant,2006,1.48 Jupiters,1.21 x Jupiter,0.0346 AU,HD 11964,Radial Velocity,,,01h57m09.61s,-10d14m32.7s,5349.0,1.12,
924,HD 86226 b,149.0,0.45 Jupiters,7.932,2009,Gas Giant,2009,0.45 Jupiters,1.28 x Jupiter,2.73 AU,,,,,,,,,
925,HD 86226 c,149.0,7.25 Earths,7.932,2020,Super Earth,2020,7.25 Earths,2.16 x Earth,0.049 AU,HD 11977,Radial Velocity,,,01h54m56.13s,-67d38m50.3s,4970.0,1.91,10.09
926,HD 86264 b,222.0,7 Jupiters,7.407,2009,Gas Giant,2009,7 Jupiters,1.13 x Jupiter,2.86 AU,,,,,,,,,
927,HD 8673 b,124.0,14.2 Jupiters,6.31,2009,Gas Giant,2009,14.2 Jupiters,1.1 x Jupiter,3.02 AU,HD 120084,Radial Velocity,,,13h42m39.20s,+78d03m52.0s,4892.0,2.39,9.12
928,HD 86950 b,689.0,3.6 Jupiters,7.459,2016,Gas Giant,2016,3.6 Jupiters,1.16 x Jupiter,2.72 AU,,,,,,,,,
