,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2026,Kepler-145 c,1879.0,0.25 Jupiters,11.875,2013,Gas Giant,2013,0.25 Jupiters,0.385 x Jupiter,Unknown,,,,,,,,,
2027,Kepler-1460 b,1872.0,4.5 Earths,15.919,2016,Super Earth,2016,4.5 Earths,1.96 x Earth,Unknown,HR 858,Transit,86.23,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31
2028,Kepler-1461 b,2453.0,4.78 Earths,15.695,2016,Super Earth,2016,4.78 Earths,2.03 x Earth,Unknown,,,,,,,,,
2029,Kepler-1462 b,4462.0,14 Earths,15.856,2016,Neptune-like,2016,14 Earths,0.341 x Jupiter,Unknown,HR 858,Transit,87.43,,02h51m56.25s,-30d48m52.3s,6201.0,1.15,1.31
2030,Kepler-1463 b,4374.0,4.12 Earths,15.724,2016,Super Earth,2016,4.12 Earths,1.86 x Earth,Unknown,,,,,,,,,
2031,Kepler-1464 b,2257.0,3.39 Earths,14.13,2016,Super Earth,2016,3.39 Earths,1.66 x Earth,Unknown,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
2032,Kepler-1464 c,2257.0,0.972 Earths,14.13,2016,Terrestrial,2016,0.972 Earths,1.0 x Earth,Unknown,,,,,,,,,
2033,Kepler-1465 b,1142.0,3.78 Earths,14.42,2016,Super Earth,2016,3.78 Earths,1.77 x Earth,Unknown,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
2034,Kepler-1466 b,2238.0,3.02 Earths,13.869,2016,Super Earth,2016,3.02 Earths,1.55 x Earth,Unknown,,,,,,,,,
2035,Kepler-1467 b,2903.0,10.9 Earths,15.521,2016,Neptune-like,2016,10.9 Earths,0.294 x Jupiter,Unknown,HR 8799,Imaging,,,23h07m28.72s,+21d08m03.3s,7400.0,,
2036,Kepler-1468 b,3686.0,3.64 Earths,14.952,2016,Super Earth,2016,3.64 Earths,1.73 x Earth,Unknown,,,,,,,,,
2037,Kepler-1468 c,3686.0,1.6 Earths,14.952,2016,Super Earth,2016,1.6 Earths,1.15 x Earth,Unknown,HR 8799,Imaging,25.0,,23h07m28.72s,+21d08m03.3s,7400.0,,
2038,Kepler-1469 b,4094.0,8.25 Earths,15.989,2016,Neptune-like,2016,8.25 Earths,0.25 x Jupiter,Unknown,,,,,,,,,
2039,Kepler-146 b,2387.0,13.3 Earths,13.803,2014,Neptune-like,2014,13.3 Earths,0.331 x Jupiter,0.2 AU,HU Aqr,Eclipse Timing Variations,90.0,,21h07m58.19s,-05d17m40.5s,,0.88,
2040,Kepler-146 c,2387.0,9.96 Earths,13.803,2014,Neptune-like,2014,9.96 Earths,0.279 x Jupiter,0.364 AU,,,,,,,,,
